Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2","","2258","0","0","0","0","0"
"3","","322","0","250","0","0","0"
"12","","2253","250","100","0","0","0"
"13","","12994","1000","200","0","2","0"
"14","","5923","1000","750","0","1","0"
"15","","28909","250","250","0","0","0"
"16","","26200","250","250","0","0","0"
"17","","26127","250","250","0","0","0"
"18","","28817","250","250","0","2","0"
"19","","8452","250","750","0","1","0"
"20","","27963","250","250","0","0","0"
"21","","671","100","250","0","0","0"
"22","","268","300","500","0","1","0"
"23","","10755","250","250","0","1","0"
"24","","26126","100","250","0","1","0"
"25","","27911","0","0","0","0","0"
"26","","27917","0","0","0","0","0"
"27","","28844","0","0","0","2","0"
"28","","28748","0","0","0","0","0"
"31","","28654","0","0","0","2","0"
"32","","28776","250","500","0","2","0"
"33","","13527","0","0","0","0","0"
"36","","26699","200","500","0","2","0"
"37","","26605","0","0","0","2","0"
"38","","9882","0","250","0","0","0"
"39","","1508","250","250","0","2","0"
"40","","24925","0","250","0","2","0"
"41","","28777","0","250","0","2","0"
"42","Dispatcher_BananaBarrage(""WORLD\\EXPANSION01\\DOODADS\\HELLFIREPENINSULA\\TREES\\HellfireSeedPod01.m2"", 0.2, ...)","26892","0","250","164","2","0"
"43","DefaultTurnBehaviour_Periodic( ... )","27119","0","0","0","2","0"
"44","","11538","0","0","0","2","0"
"45","","28838","0","0","0","2","0"
"46","","25869","250","250","0","0","0"
"47","","32","200","500","0","2","0"
"48","","28717","0","1000","0","0","0"
"49","","10041","100","250","0","2","0"
"50","","970","150","250","0","0","0"
"51","","70","100","250","0","1","0"
"52","","24994","500","100","0","1","0"
"53","","20125","250","100","0","1","0"
"54","","24993","750","100","0","0","0"
"55","","28713","0","250","0","1","0"
"56","","28075","250","250","0","2","0"
"58","","25185","100","250","0","2","0"
"59","","27611","250","250","0","2","0"
"60","","25184","0","0","0","2","0"
"61","","21758","150","150","0","2","0"
"62","Dispatcher_Stampede( 5, ...)","11138","250","250","159","1","0"
"63","","28830","250","500","0","2","0"
"64","","28757","250","250","0","2","0"
"65","","28756","250","250","0","2","0"
"66","","28743","250","250","0","2","0"
"67","","28870","250","500","0","2","0"
"68","","28063","250","250","0","2","0"
"69","","28781","300","500","0","1","0"
"70","","28745","250","250","0","0","0"
"71","","2253","1000","500","0","1","0"
"73","","28670","0","1250","0","1","0"
"74","Dispatcher_MultiAttack (...)","28811","0","250","159","1","0"
"75","","13","0","100","0","0","0"
"76","","25346","100","500","0","2","0"
"77","","28702","1500","0","0","1","0"
"78","","28052","0","0","0","2","0"
"79","Dispatcher_FlyingStrike( ... )","28718","0","0","168","0","0"
"81","Dispatcher_MultiAttack( ... )","23956","250","250","159","0","0"
"82","Dispatcher_VanishAttackOnMultiHit (...)","28731","250","250","159","0","0"
"83","","28847","1500","250","0","2","0"
"84","","184","100","100","0","2","0"
"85","","28733","250","250","0","0","0"
"86","Dispatcher_MultiAttack ( ... )","28722","250","250","159","0","0"
"87","Dispatcher_LeapIntoMeleeOnlyPlayN( 1, ... )","28818","0","0","159","0","0"
"88","","28832","250","500","0","2","0"
"89","","28833","0","0","0","2","0"
"90","Dispatcher_Stampede( 4, ...)","0","250","250","159","0","0"
"91","Dispatcher_MultiAttack (...)","28656","250","250","159","0","0"
"93","Dispatcher_MultiAttack( ... )","28742","250","250","159","0","0"
"94","","10998","100","250","0","2","0"
"95","","28809","0","0","0","2","0"
"96","","25827","250","250","0","1","0"
"97","","28715","1250","250","0","1","0"
"98","","28792","2500","0","0","2","0"
"99","","28665","2000","500","0","2","0"
"100","","28739","250","500","0","1","0"
"101","","28740","0","0","0","2","0"
"102","Dispatcher_BananaBarrage(nil, nil, ...)","28836","0","250","164","2","0"
"103","","28090","0","0","0","2","0"
"104","Control_DeathAndDecay( ... )","28802","0","0","166","2","0"
"105","DefaultTurnBehaviour_Periodic( ... )","28737","0","0","159","2","0"
"106","Dispatcher_MultiAttack( ... )","26852","250","250","159","0","0"
"107","Dispatcher_FlyingStrike( ... )","28718","250","250","168","0","0"
"108","","26201","250","250","0","0","0"
"109","","26148","250","250","0","0","0"
"110","","26207","250","250","0","0","0"
"111","","26383","0","0","0","2","0"
"112","Dispatcher_MissileBarrage( ... )","26224","250","250","168","1","0"
"113","","26237","250","250","0","0","0"
"114","","28866","250","250","0","0","0"
"115","","28195","250","250","0","0","0"
"116","","26337","250","750","0","1","0"
"117","Trap_Target(...)","25346","250","750","159","2","0"
"120","Dispatcher_VanishAttackOnMultiHit (...)","28804","250","250","159","0","0"
"122","Dispatcher_NocturnalStrike( 16267, ... )","26127","250","250","168","0","0"
"123","Dispatcher_PredatoryStrike( ... )","26127","250","250","168","1","0"
"124","Dispatcher_MultiAttack( ... )","28854","250","500","159","1","0"
"125","","28655","250","250","0","0","0"
"126","Dispatcher_Headbutt(nil,...)","28755","250","250","164","2","0"
"127","Critter_ApocalypseImpact( ... )","27608","0","0","189","2","0"
"129","Dispatcher_Surge( ... )","26934","100","250","184","2","0"
"130","","26700","250","250","0","0","0"
"131","","28759","2500","100","0","2","0"
"134","","28710","500","500","0","2","0"
"135","Control_Whirlpool( ... )","0","0","0","166","0","0"
"136","","26832","250","250","0","2","0"
"138","","26856","250","500","0","0","0"
"139","","26857","250","250","0","0","0"
"140","Dispatcher_MultiAttack (...)","28682","250","250","159","0","0"
"141","","28736","250","250","0","1","0"
"142","Control_Tranquillity(...)","0","0","0","166","2","0"
"143","","28761","0","1500","0","2","0"
"144","","246","100","100","0","2","0"
"145","","26866","250","750","0","1","0"
"147","Dispatcher_BananaBarrage(""WORLD\\KALIMDOR\\THOUSANDNEEDLES\\PASSIVEDOODADS\\WYVERNEGGS\\WyvernEggs01.m2"", 0.2, ...)","26895","0","250","164","2","0"
"148","","27950","0","0","0","2","0"
"149","","26961","500","500","0","2","0"
"150","Dispatcher_BuildLaunchRocket( ... )","27003","250","750","163","0","0"
"151","CreateObject_Rocket( ... )","28890","0","0","163","2","0"
"152","Dispatcher_BuildTurret( ... )","26998","250","750","163","0","0"
"153","CreateObject_Turret( ... )","8780","0","0","163","2","0"
"154","Dispatcher_FireTurret( ... )","27012","0","50","163","2","0"
"155","","28134","250","250","0","1","0"
"156","Dispatcher_BuildBeaverDam( ... )","28840","250","250","189","0","0"
"157","CreateObject_Dam ( ... )","30007","0","0","188","2","0"
"160","Dispatcher_LaunchMines ( ... )","27077","250","500","163","1","0"
"161","CreateObject_Mines( ""WORLD\\GOOBER\\LandMineAlteracValley.m2"", ... )","0","0","0","163","2","0"
"162","Dispatcher_DetonateMines ( ... )","28681","0","0","163","2","0"
"163","Dispatcher_BananaBarrage(""SPELLS\\Boulder_Missile.m2"", 0.2, ...)","26895","250","250","164","2","0"
"164","Dispatcher_BananaBarrage(""SPELLS\\Boulder_Missile.m2"", 0.2, ...)","26892","0","250","164","2","0"
"165","","28668","0","0","0","2","0"
"166","","27943","0","0","0","2","0"
"167","DefaultTurnBehaviour_Periodic( ... )","28091","0","0","159","2","0"
"168","","27116","250","500","0","0","0"
"169","Weather_LightningStorm( ... )","0","0","0","166","2","0"
"170","Weather_SnowStorm( ... )","0","0","0","166","2","0"
"171","Weather_Mudslide( ... )","0","0","0","166","2","0"
"172","Weather_ScorchedEarth( ... )","28697","0","0","166","2","0"
"173","","27119","0","0","0","2","0"
"174","","27120","1500","500","0","2","0"
